1.2/3.1/1.3/1/5/4/4/3/1.3/1.3/3.3/2.1.1/1.1/2,0001110001011101001111110111011010110100001100000
3/1/3.1/4/5/5/2/3/4/4/6/1.4/1/1,0000111000111100111101111110101111010000000010000
2/2/2.3/2.1/2.1/1.3/6/5/3.1/2/3/1.2/3.1/4,0011111001110100000110000111001001111100011111000
5/6/4/4/2/2/1/1.4/5/4/4/3/2/1,0101111011111011110001111000111000011000001000000
1.1/2/1/6/2.3/4/4/1.3/2/1/4/4/1.4/2.2,1011100000110000010000001111000111101011111100011
1/1.3/2/4.2/3/2.2/4/3/3/4/4/1.1/1.1.2/2.1.1,0111000001110000011110001111010000101010111101010
2/4/4.1/2.2/2/1.1.2/3/4/4/3.2/3.1/1.1/2.1/1.1,0011110011110011100111110001010000100110100001010
2.4/3/2/2.2/3/4/2/1.3/1.3/3/1.2/2/4/4,1001110100111000001111000011110000011110001111000
5/3/2/2.1/1.3/4/4/5/4/2/1.2/1.3/4/3,1111100111100011000001000011100011100011110000111
4/4/5/4/3/3/2/6/6/6/4/1/1/1,1111110111111011111101111000001000000000010000001
4/1.1.1/3/3/2/4.1/4/5/6/2.2/2.2/1/2/1.1,0011111011111100110111100011100000011000001000010
3/4/1/4/2.2/2.3/3/3/3/1/1.3/3.3/2.2/2.1,0001110000111000010000101110111011111000111100001
1.2/1.3/5/1.3/2/3/3/4/1/3/3/3.2/2.2/2.2,1111000001000000111000011100011101111000111100011
3/5/4/5/3.1/2/2/2/1.2/4/5/5/4/2,0000011010001101111001111100111110011110000001100
3.2/3.2/3.1/3/3/2/2/4/5/5/3/2/2/3,1111000111110011111000000111000001111000001110000
2.2/1.1/2.2/2/4/3/6/3.1/1.1.1/1/3/3/1.5/5,1110001101000100000010000111000011110111111111100
5.1/6/1.2/1/1.1/4/3/1.2/2.3/3.2/2.2/2/2/4,1000011110011111100111100110110000001100001111000
5/5/4/1/1.1.1/1.2/3/1/1/2.2/3/3.1/3.2/6,0000100100000011001101110000111000111100110111111
4/4/3/1.2/1.2/2/5/5/3/3.1/2.1/1/4/4,1111100111000011100011100001000000100011110001111
3/2/3/2/5/1.2/2.4/1/2/5/5.1/1.1.1.1/3/3,0000001000001111111001111101101010100001110000111
1/1.1.1/3.1/6/1.4/3/3/2.1/5/3.2/3/2/2/5,0110001001111101110110001110000110000011001111100
1.1/4/1.4/4/5/3/2/3/1.1.3/3/4/4/3/3,0000111101011100011100111100011110001110001110000
5/3/1/2.2/3.1/6/1.1/2/4/1.2/1.2/2.1/2.1.1/6,0001100000111110001101000011110001011010101111110
3/2.1/1.1/5/6/3/2/3.1/2.1/1.4/4/5/2/1,1110100110010010011110001111011111000011000001000
3.3/3/3/1/1.1/4/5/1.3/1.2/1.2/5/3.1/3/2,1000111100001110000110011111111000111100001100000
2/3/6/5/4/1.1.1/1/2/3/6/5/4/3/1,0000011011100011111101111100001111000111000010000
1.2/2/1.3/6/6/2/1/1.1/2/3/3/5/5/4,1000100000110000111000001110001111111111001111000
2/1.1.1/3/3/4/4/5/2/1/2.1/3/4/1.4/2.4,0110000001000001100010000111000111110011111101111
5/4/4/1.1/1.2/3/4/1/3/3/3.1/2.2/2.4/1.3,0010000001110011100001110001110001111011111000111
6/4.1/4/3/1/3/3/1.2/2.1.2/4.2/5/1.1/3/1,0100011110101111110111111100101000011100001000000
2/1.3.1/1.3/1.1.1/1.3/3/3/4/1/1.4/2.3/6/1/2,0111100000000101011111100111111111000100000110000
5/2/2/2.2/3.2/3/3/2.4/2.4/1.3/1/1/3/3,1101111110111110001111000000100000000111000011100
5/1.4/2/1.2/1.3/4/2/5/1.1/2.1/2.2/2.2/1.3/3,1111100101000011000011100011110011001011100001110
1.3/5/2/1.2/2/1.3/2.3/2.2/1.1/2/2.1/2.2/5/5,1100011010000111000001101000110001100111110011111
4/3/2/1/2.2/3.2/3.3/2.2/2.2/2.3/1.1.1/1.1/3/4,1100011110001111001111010100001000100001110001111
4/4/2/1/3/5/5/2/2/1.3/2.3/2.3/3/3,0000011000001110001111100111110011111100000111000
5/2.1/2.2/2/2/3/2.3/3.1/3.1/1/2/1.2/5/5,1110001111000110000001100000100001100111110011111
4/4.1/3.1/2.2/2.1/3/1.1/3/5/3.1.1/2/1.2/1.1/5,0111000111110011101011100000100001100010100111110
1.1/1.1.2/2.1.1/6/2.1/4/2/5/6/1.1/6/1/3/2,0011111011111100010101111110000100001110001100000
1/3/1.3/1.5/5/3/1.1/3.1/1/1.4/3/1.4/3/3,0111001010000001011110001110101111000111000011100
1/1.3/3/1.4/1.1.3/3/3.1/2.4/2/3/1/4.1/4/4,1101111000001100001110001000011110101111000111100
5/2/4/1.2/3.1/3/4/1.4/1.3/1.3/3.1/4/2/1.1,1001111100011110001111110001111100000110000010100
5/4/2.2/2.1/2/3/2.2/1.5/1.5/2.1/2/2/2.1/2.1,1011111101111111000101100000110000001100010011001
2/2/3/4/3/5/5/2.2/2.2/1.2/4/5/3/1,1100011110001100010110001111001111100111000010000
3/3/3.2/6/1.1.2/1.2/1/3/5/4/3/1/5/4,1110000111110011110000001110000100000111110011110
3/5/5/2/2/2/3.2/4/5/3.1/3/3/2.1/1.1,0001111001111111100011110000111000001100010100001
1/2/1.2/4/5/5.1/4/1/2/3/5/4/4/6,0000010000001100001110011111000111101111001111110
2.2/1.2/2.2/3.1/3/2.2/3/3/3/5/1.1/1/3.2/4.2,0001110000111011111001010000000000111100111111011
2.2/2.2/3.3/3/3/1/3/5/5/5/1.1/3.1/2/1,1111100111110000111111000001111000101100000010000
2/1.2/3/1.4/1.4/5/1.1/2.4/1.1/3/3/4/4/3,1101111100001000001110001110001111001111000111000
3.1/3.1/2/1/1.2/6/5/2/2.3/2.2/2/2/1.1.3/5,1100000110011111000110000011000001110101110111110
4.1/3.1/3.1/4/3/2.1/1/3/5/6/1.3/3/1/2,1110000111110011111101001110011100010000000000011
4/2.1/1.1.1/3.1/1.1/4.1/4/3/1.1/3.2/2.2/1.1.1/1.2/5,0001110000101001110111100011101000110000111111100
3/3/3/1.1/1.3/4/6/5/3.1/3.1/2/4/3/3,1111100111000111100010000011000111100001110000111
1.2/2/5.1/4/4/2.1/3/6/5/3/3/1.1/1.1/1.1.2,1111110011111000111000011100001000110000011010011
4/1.3/5/4/3/2/2.1/4/1.3.1/5.1/4/3/1/2,0111100101110111111011111000111000000000100000011
6/6/5/2/1/2/2/3/2.2/3/4/4/3/3,0000111110001111100001111000111100011100001110000
3/3.1.1/5/4/1.2/1/3/4/3/3/2/3.3/1.1.1/2.1,0111100011100001110000011000111011110001011100001
3.1/5/5/2/1/3/1.1.3/3.1/5/4.1/2/3.2/2/2,1110001111110011110010110000111001100000110000011
4/2/4/4/3/4/4/2/2/2/4.2/5/1.3/1.3,0000011000001100000111111011111110010111001011100
